"image","n","p","frobenius","k","error","rel","cumvar","k95","k99","k999"
"image1",1000,100,705.461677189919,69,141.339782781962,0.200350759441623,0.959859573191165,63,91,99
"image1",1000,100,705.461677189919,70,138.549317809858,0.196395243412433,0.961428908364971,63,91,99
"image1",1000,100,705.461677189919,71,135.723514870686,0.192389635410553,0.962986228186594,63,91,99
"image1",1000,100,705.461677189919,72,132.880547842744,0.188359697116433,0.964520624502206,63,91,99
"image1",1000,100,705.461677189919,73,130.01347544513,0.184295589184965,0.966035135806967,63,91,99
"image1",1000,100,705.461677189919,74,127.125265285598,0.1802015182341,0.967527412826125,63,91,99
"image1",1000,100,705.461677189919,75,124.17735774093,0.176022825556689,0.969015964883039,63,91,99
"image1",1000,100,705.461677189919,76,121.207837800371,0.171813497060791,0.970480122227741,63,91,99
"image1",1000,100,705.461677189919,77,118.198559543211,0.167547810696158,0.971927731130924,63,91,99
"image1",1000,100,705.461677189919,78,115.176446465546,0.163263930826591,0.97334488889105,63,91,99
"image1",1000,100,705.461677189919,79,112.096112222068,0.158897521788261,0.974751577569549,63,91,99
"image1",1000,100,705.461677189919,80,108.945949970019,0.154432130748739,0.976150716992404,63,91,99
"image1",1000,100,705.461677189919,81,105.779219338665,0.149943253841963,0.977517020627285,63,91,99
"image1",1000,100,705.461677189919,82,102.540585387988,0.145352453157258,0.978872664361167,63,91,99
"image1",1000,100,705.461677189919,83,99.2405177547687,0.140674569524564,0.980210665489079,63,91,99
"image1",1000,100,705.461677189919,84,95.8950393889938,0.135932315658839,0.981522405559626,63,91,99
"image1",1000,100,705.461677189919,85,92.4343511375393,0.131026750461818,0.982831990663416,63,91,99
"image1",1000,100,705.461677189919,86,88.9500324017444,0.126087688782842,0.984101894737401,63,91,99
"image1",1000,100,705.461677189919,87,85.3573025424956,0.120994953095824,0.985360221325339,63,91,99
"image1",1000,100,705.461677189919,88,81.6684932939675,0.115766023775068,0.98659822773931,63,91,99
"image1",1000,100,705.461677189919,89,77.8212966081112,0.110312578449475,0.987831135035828,63,91,99
"image1",1000,100,705.461677189919,90,73.828211911089,0.104652335198661,0.989047888737467,63,91,99
"image1",1000,100,705.461677189919,91,69.7067416863274,0.0988101039931634,0.99023656334886,63,91,99
"image1",1000,100,705.461677189919,92,65.3694733711126,0.0926619765250754,0.991413758106466,63,91,99
"image1",1000,100,705.461677189919,93,60.785063062963,0.0861635224539616,0.992575847398326,63,91,99
"image1",1000,100,705.461677189919,94,55.9719009634374,0.0793408101009702,0.993705035852522,63,91,99
"image1",1000,100,705.461677189919,95,50.783301656201,0.0719859112099288,0.994818028587276,63,91,99
"image1",1000,100,705.461677189919,96,45.1256997091573,0.063966195710173,0.995908325806368,63,91,99
"image1",1000,100,705.461677189919,97,38.8113451401155,0.0550155258535284,0.99697329191506,63,91,99
"image1",1000,100,705.461677189919,98,31.4574477998598,0.0445912922232218,0.998011616657863,63,91,99
"image1",1000,100,705.461677189919,99,22.1358207661053,0.0313777792356906,0.999015434970236,63,91,99
"image1",1000,100,705.461677189919,100,6.51846672286074e-12,9.24000117033413e-15,1,63,91,99
"image2",1000,100,37538.7903476,1,2.04824775460643,5.4563499133567e-05,0.999999997022824,1,1,1
"image2",1000,100,37538.7903476,2,2.27223178084234e-09,6.05302344535355e-14,1,1,1,1
"image2",1000,100,37538.7903476,3,2.24829989143325e-09,5.98927101969601e-14,1,1,1,1
"image2",1000,100,37538.7903476,4,2.20109603654769e-09,5.86352414706515e-14,1,1,1,1
"image2",1000,100,37538.7903476,5,2.20114844668386e-09,5.86366376300824e-14,1,1,1,1
"image2",1000,100,37538.7903476,6,2.19846550237544e-09,5.85651663790491e-14,1,1,1,1
"image2",1000,100,37538.7903476,7,2.19220632071896e-09,5.83984273446126e-14,1,1,1,1
"image2",1000,100,37538.7903476,8,2.17920029553395e-09,5.80519583970366e-14,1,1,1,1
"image2",1000,100,37538.7903476,9,2.1722918587691e-09,5.78679237837504e-14,1,1,1,1
"image2",1000,100,37538.7903476,10,2.15800816037647e-09,5.74874187578727e-14,1,1,1,1
"image2",1000,100,37538.7903476,11,2.14173283447348e-09,5.70538585458285e-14,1,1,1,1
"image2",1000,100,37538.7903476,12,2.12045877425993e-09,5.64871364960087e-14,1,1,1,1
"image2",1000,100,37538.7903476,13,2.11023536504533e-09,5.62147939639254e-14,1,1,1,1
"image2",1000,100,37538.7903476,14,2.10166311659998e-09,5.59864368867268e-14,1,1,1,1
